"last_name, first_name",player_id,year,home_run,xba,xslg,xwoba,xobp,xiso,xwobacon,xbacon,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent
"Hunter, Torii",116338,2015,22,0.234,0.376,0.294,0.289,0.142,0.331,0.292,88.5,10.8,28.5,5,5.2,34.9
"Ortiz, David",120074,2015,37,0.301,0.616,0.42,0.388,0.314,0.474,0.364,93,15.7,34.8,13.1,8.4,49.1
"Rodriguez, Alex",121347,2015,33,0.247,0.495,0.368,0.356,0.248,0.437,0.339,91.4,12,31.4,10.9,8.1,43.9
"Ramirez, Aramis",133380,2015,17,0.24,0.405,0.304,0.293,0.164,0.323,0.279,87.4,15.8,33.5,5.6,6.6,34.5
"Beltre, Adrian",134181,2015,18,0.295,0.482,0.36,0.346,0.186,0.38,0.333,89.5,12.6,35.7,5.5,7.8,40.4
"Beltran, Carlos",136860,2015,19,0.274,0.448,0.346,0.34,0.174,0.381,0.334,90.6,15.6,34.1,5.8,7.5,41.9
"Rollins, Jimmy",276519,2015,13,0.233,0.34,0.285,0.296,0.106,0.302,0.283,85.7,16.2,32.1,2.5,4.2,23.1
"Pujols, Albert",405395,2015,40,0.268,0.481,0.346,0.329,0.213,0.364,0.303,90.7,14.2,29.5,7.7,5.3,38.3
"Byrd, Marlon",407781,2015,23,0.238,0.435,0.311,0.285,0.196,0.406,0.335,86.3,12.1,33.9,8.5,5.5,31.1
"Mauer, Joe",408045,2015,10,0.275,0.426,0.338,0.351,0.151,0.376,0.341,89.5,4.4,33.3,3.7,8,39.9
"Cabrera, Miguel",408234,2015,18,0.323,0.595,0.432,0.431,0.271,0.486,0.401,93.8,12.2,35.8,10.6,8.9,53.3
"Gonzalez, Adrian",408236,2015,28,0.281,0.5,0.368,0.358,0.219,0.414,0.346,88.8,14.2,40.7,8.4,9.4,36.8
"Phillips, Brandon",408252,2015,12,0.29,0.39,0.316,0.325,0.101,0.336,0.327,86.2,10.7,32.6,2.3,3.2,26
"Reyes, Jose",408314,2015,7,0.245,0.303,0.265,0.286,0.058,0.278,0.284,84.6,13.3,28.1,0.2,2.3,18.6
"Peralta, Jhonny",425509,2015,17,0.273,0.426,0.332,0.336,0.153,0.374,0.338,88.2,13.4,35.2,4.4,5.7,34
"Choo, Shin-Soo",425783,2015,22,0.254,0.444,0.357,0.36,0.19,0.413,0.348,90.9,7.7,33.5,8.4,7.2,44.1
"Molina, Yadier",425877,2015,4,0.238,0.329,0.27,0.283,0.09,0.279,0.268,86.4,10.4,32.6,2.3,2.5,25.3
"Fielder, Prince",425902,2015,23,0.277,0.455,0.35,0.356,0.178,0.369,0.323,90.9,9.9,29.4,6.4,5.3,44.5
"Cano, Robinson",429664,2015,21,0.295,0.476,0.356,0.344,0.181,0.404,0.357,91,5.5,32.4,7.3,5.6,45.7
"Encarnacion, Edwin",429665,2015,39,0.265,0.519,0.38,0.366,0.254,0.409,0.323,90.1,16.5,31.1,10,7.3,43.9
"Howard, Ryan",429667,2015,23,0.268,0.52,0.359,0.315,0.251,0.48,0.382,91.3,14.9,42.5,11.7,8.7,45.2
"Bautista, Jose",430832,2015,40,0.26,0.514,0.39,0.388,0.254,0.408,0.321,92,16.9,29.9,12.6,5.2,45.6
"Jones, Adam",430945,2015,27,0.265,0.478,0.338,0.305,0.213,0.393,0.325,88.2,11.3,27.5,8.9,5.4,34.5
"Aybar, Erick",430947,2015,3,0.275,0.352,0.294,0.309,0.077,0.315,0.314,85.7,6.6,31.3,0.9,3.2,19.4
"Martin, Russell",431145,2015,23,0.235,0.415,0.333,0.33,0.18,0.375,0.313,89.2,9.8,26.8,8.2,5.3,40
"Granderson, Curtis",434158,2015,26,0.258,0.461,0.363,0.365,0.204,0.418,0.349,89.4,18.4,40.9,8.3,7.6,40
"Pagan, Angel",434636,2015,3,0.252,0.331,0.281,0.296,0.08,0.312,0.307,86.3,11.6,32.9,0.7,4.7,22.6
"Morales, Kendrys",434778,2015,22,0.285,0.504,0.375,0.361,0.219,0.417,0.35,91.9,10.2,34.3,8.9,7.2,47.4
"Kinsler, Ian",435079,2015,11,0.274,0.383,0.311,0.323,0.109,0.326,0.313,86.1,17.7,36.6,2.7,4,26.6
"McCann, Brian",435263,2015,26,0.221,0.381,0.307,0.313,0.161,0.326,0.278,89.5,17.5,29.1,5.3,6.9,36.5
"Walker, Neil",435522,2015,16,0.249,0.412,0.315,0.313,0.162,0.353,0.309,88.9,14,33.3,4.8,7.7,37.6
"Desmond, Ian",435622,2015,19,0.218,0.362,0.286,0.278,0.144,0.373,0.322,90.8,6.4,25.9,6.9,3.7,41.1
"Cruz Jr., Nelson",443558,2015,44,0.286,0.546,0.386,0.357,0.261,0.498,0.399,92.7,9.3,35.4,14.1,7.7,47.8
"Trumbo, Mark",444432,2015,22,0.252,0.442,0.325,0.302,0.191,0.407,0.341,92,13.3,31,9.8,6.1,43
"Peralta, David",444482,2015,17,0.281,0.457,0.355,0.35,0.176,0.419,0.368,91.6,6.7,35.4,8,6.1,43.4
"Escobar, Alcides",444876,2015,3,0.262,0.329,0.281,0.3,0.067,0.295,0.297,84.6,9.6,30.4,0.9,1.6,16.5
"Prado, Martin",445988,2015,9,0.274,0.373,0.312,0.33,0.099,0.328,0.317,89,9.1,33.8,2.3,3.9,33.6
"Duda, Lucas",446263,2015,27,0.254,0.504,0.372,0.363,0.25,0.457,0.36,91.7,19.8,40.2,11.6,6.8,42.3
"Longoria, Evan",446334,2015,21,0.26,0.466,0.34,0.322,0.206,0.398,0.331,89.6,15.4,33.5,8.5,7.9,39.7
"Davis, Chris",448801,2015,47,0.262,0.589,0.403,0.364,0.327,0.566,0.411,92,17.5,39.7,17.3,8.9,45.9
"Zobrist, Ben",450314,2015,13,0.26,0.382,0.324,0.347,0.121,0.315,0.294,88.6,8.2,29.3,3.6,4.8,34.9
"Fowler, Dexter",451594,2015,17,0.231,0.347,0.307,0.331,0.116,0.338,0.311,87.2,12.2,32,4.5,3.4,30.2
"Headley, Chase",452104,2015,11,0.261,0.399,0.323,0.329,0.139,0.374,0.341,86.8,11.9,36.7,5.1,4.5,32.5
"Lind, Adam",452252,2015,20,0.244,0.421,0.328,0.334,0.177,0.359,0.305,89.5,10.7,31.4,7.2,7.2,36
"Cabrera, Asdrubal",452678,2015,15,0.227,0.385,0.292,0.283,0.158,0.336,0.289,88.3,17.3,32.1,5.4,5.7,32.3
"Tulowitzki, Troy",453064,2015,17,0.256,0.416,0.319,0.318,0.16,0.379,0.334,90,12.7,31.4,5.3,7.4,40.4
"Blackmon, Charlie",453568,2015,17,0.261,0.391,0.318,0.327,0.13,0.348,0.321,86.8,15,35.4,3.7,6.8,29
"Frazier, Todd",453943,2015,35,0.251,0.461,0.331,0.307,0.21,0.39,0.321,89.6,18.8,32.7,9,6.5,38.8
"Markakis, Nick",455976,2015,3,0.263,0.342,0.305,0.342,0.079,0.308,0.304,88.3,6.8,30.6,0.8,3.2,33.6
"Butler, Billy",456714,2015,15,0.249,0.441,0.335,0.325,0.192,0.369,0.308,89.4,8.5,30.8,7.5,7.7,40.6
"Cain, Lorenzo",456715,2015,16,0.301,0.473,0.364,0.359,0.172,0.411,0.367,90.2,9.5,35.4,5.5,5.5,38.1
"McCutchen, Andrew",457705,2015,23,0.287,0.523,0.399,0.402,0.236,0.455,0.374,90.6,13.9,41,9.3,9.5,44.6
"Jackson, Austin",457706,2015,9,0.261,0.38,0.304,0.307,0.119,0.378,0.354,89.6,7.3,34.4,3.8,3.3,39.8
"Upton, Justin",457708,2015,26,0.231,0.426,0.327,0.322,0.195,0.401,0.328,89.8,16.2,28.6,10.1,5.7,39.2
"Maybin, Cameron",457727,2015,10,0.268,0.366,0.312,0.329,0.097,0.349,0.336,88.2,2.1,26.8,2.7,2.7,35.9
"Posey III, Buster",457763,2015,19,0.31,0.499,0.378,0.377,0.189,0.387,0.342,89,10.9,33.6,6.1,6.3,37.5
"Bruce, Jay",457803,2015,26,0.242,0.444,0.325,0.312,0.202,0.391,0.322,89.7,15.6,34.2,8.1,7.7,37.6
"Votto, Joey",458015,2015,29,0.289,0.541,0.422,0.443,0.252,0.476,0.386,90.2,11.5,42.7,10.9,7.3,42.2
"Coghlan, Chris",458085,2015,16,0.244,0.402,0.325,0.337,0.158,0.356,0.311,88.5,11,32.8,5.5,5.2,33.3
"Gardner, Brett",458731,2015,16,0.258,0.394,0.332,0.346,0.136,0.376,0.343,88.8,11.1,32,4,6.3,34.9
"Braun, Ryan",460075,2015,25,0.281,0.503,0.374,0.355,0.223,0.44,0.364,92.3,7.7,31.7,10.7,5.6,45.4
"Moss, Brandon",461235,2015,19,0.232,0.464,0.336,0.314,0.231,0.44,0.345,89.1,19.8,34.9,11.7,8.3,39.5
"Kemp, Matt",461314,2015,23,0.261,0.459,0.336,0.312,0.198,0.411,0.346,89.5,12,34.4,8.3,8.8,40.5
"Plouffe, Trevor",461858,2015,22,0.251,0.441,0.33,0.315,0.19,0.379,0.319,89.8,13.6,33.5,7.9,7,39.4
"Andrus, Elvis",462101,2015,7,0.249,0.336,0.288,0.306,0.087,0.295,0.287,87.3,10.1,28,1.5,2.6,27.1
"Cervelli, Francisco",465041,2015,7,0.257,0.394,0.326,0.337,0.136,0.357,0.326,88.2,6.9,33.4,4.1,5.8,35.6
"Cabrera, Melky",466320,2015,12,0.274,0.371,0.306,0.319,0.097,0.328,0.318,89.6,9.7,30.9,2.4,2.9,36.2
"Sandoval, Pablo",467055,2015,10,0.227,0.352,0.279,0.276,0.125,0.298,0.268,88.1,9.9,28.7,4.8,4,33.5
"Ramos, Wilson",467092,2015,15,0.25,0.41,0.3,0.28,0.16,0.361,0.315,90.5,4.5,30.1,6.3,7.3,44.5
"Santana, Carlos",467793,2015,19,0.241,0.408,0.346,0.369,0.167,0.362,0.311,89.2,12.5,28.2,7.2,4.6,39.7
